Sprint 1 Planning Sept. 29 - Oct. 10,,,,,,,
Task,Estimate,Assigned to,Problems,Notes,,,
Client Interview,2 hours,Everyone,We were unsure of if would would have sufficient information,,,,
Help the Designers,2 hours,Max and Ghebre,,,,,
Staging Server,1 hour,Ghebre,NA,gebgebonline.com/stagingarea,,,
WordPress installation,1 hour,Ghebre,NA,We used the amazon web service guide for our vps,,,
Standup Meeting,15 minutes,Everyone,NA,,,,
Initial Theme Creation,1 hour,Max,NA,,,,
Github Sync Setup,1 hour,Max and Ghebre,NA,,,,
Standup Meeting,15 minutes,Everyone,NA,,,,
Build Tasks: Grunt/LESS,2 hours,Max and Ghebre,Learning Curve,We will expect help from our instructor,,,
Theme Hierarchy Stubs,1 hour,Max and Ghebre,Learning Curve,We will expect help from our instructor,,,
,,,,,,,
,,,,,,,
Sprint 1 Retrospective Sept. 29 - Oct. 10,,,,,,,
Task,Estimate,Actual,Assigned to,Issue #,Notes,,
Client Interview,2 hours,2 hours,Everyone,,Complete,,
Help the Designers,2 hours,2 hours,Max and Ghebre,,Complete,,
Staging Server,1 hour,3 hours,Ghebre,NA,gebgebonline.com/stagingarea,,
WordPress installation,1 hour,1 hour,Ghebre,NA,Complete,,
Standup Meeting,15 minutes,10 minutes,Everyone,NA,Complete,,
Initial Theme Creation,1 hour,1 hour,Max,NA,Complete,,
Github Sync Setup,1 hour,1 hour,Max and Ghebre,NA,Complete,,
Standup Meeting,15 minutes,10 minutes,Everyone,NA,Complete,,
Build Tasks: Grunt/LESS,2 hours,2 hours,Max and Ghebre,3,Complete,,
Theme Hierarchy Stubs,1 hour,1 hour,Max and Ghebre,3,Complete,,
,,,,,,,
,,,,,,,
Sprint 2 Planning Oct. 13 - Oct. 24,,,,,,,
Task,Estimate,Assigned to,Problems,Notes,,,
Basic theme layout vis-a-vis designer's wireframes,4 hours,Everyone,,,,,
Custom post types (1 task each),4 hours,Max and Ghebre,,"Post, Page, Attachment, Revision, Navigation, and menu",,,
Plugin planning and installation,1 hour,Max and Ghebre,,,,,
Basic styling,1 hour,Everyone,,,,,
Menu setup and information architecture,1 hour,Everyone,,,,,
Standup Meeting,15 minutes,Everyone,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
