Sprint 2 Retrospective Oct. 13 - Oct. 24,,,,,
Task,Estimate,Actual,Assigned to,Problems,Notes
Basic theme layout vis-a-vis designer's wireframes,4 hours,4 hours,Everyone,"wireframing just completed on Oct 24, 2014",Ongoing
Custom post types,4 hours,Ongoing,Max and Ghebre,,Ongoing
Plugin planning and installation,1 hour,1 hour,Max and Ghebre,Needed to ftp into our project to install plugins,Completed. We can always add more if we find more.
Basic styling,1 hour,1hour,Everyone,,Ongoing
Menu setup and information architecture,1 hour,1 hour,Everyone,,Completed
Standup Meeting,15 minutes,10minutes,Everyone,,Completed
Localhost,,1hr,Ghebre,,Completed
Localhost,,1hr,Max,,Completed
Basic Theme Creation,,5hr,Max,,Completed
,,,,,
,,,,,
,,,,,
,,,,,
Sprint 3 Planning Oct. 27 - Nov. 7,,,,,
Task,Estimate,Assigned to,Problems,Notes,
Matching designer's templates,4 hours,Everyone,,,
JavaScript planning and installation,2 hours,Max and Ghebre,,,
Sample content input,1 hour,Everyone,,,
Custom category filter/search,1 hour,Everyone,,,
Standup Meeting,15 minutes,Everyone,,,
